,State_0_Mean,State_0_Count,State_1_Mean,State_1_Count,State_2_Mean,State_2_Count,State_3_Mean,State_3_Count
density_conversation,0.2991733873571224,81,-1.6769266708141413,34,0.41519282697421417,102,-0.45558123426742536,21
density_fused,0.3496206302671811,81,-1.6500004222968245,34,0.4238037894488364,102,-0.7355830103490956,21
density_proximity,-0.42020276954997116,81,-0.8423897254252615,34,0.7352436638580133,102,-0.5865323197862293,21
density_shared_attention,0.5160512693281181,81,-0.34846178262955585,34,-0.06358791653823996,102,-1.1174516532986738,21
avg_clustering_conversation,0.3843598527101988,81,-2.203075441682763,34,0.4192470146848716,102,0.04801054523004195,21
avg_clustering_fused,0.19590872973727014,81,-1.2041594578792274,34,0.24913643956122059,102,-0.016147732193781763,21
avg_clustering_proximity,-0.446761257933073,81,-0.7061007198551987,34,0.650339711873615,102,-0.2923602020691898,21
avg_clustering_shared_attention,0.4988752542761568,81,-0.27695221344983045,34,-0.07576994518910482,102,-1.1078088537993225,21
eigenvector_conversation,0.2904724943721527,81,-1.6117735995885112,34,0.3050624822735525,102,0.007412245236316496,21
eigenvector_fused,0.3464656740822637,81,-1.8787155594263898,34,0.3635332782831385,102,-0.060370712621247526,21
eigenvector_proximity,-0.010741783044727615,81,-0.7939273178394173,34,0.3126990858667543,102,-0.19198540596408492,21
eigenvector_shared_attention,0.2730076373047774,81,-0.1416085872941114,34,0.03964397683664561,102,-1.0163148710011978,21
reciprocity_conversation,0.2907429151066878,81,-1.6217187151010766,34,0.4113054712212881,102,-0.49356656546554545,21
reciprocity_fused,0.3701669075966612,81,-1.694474336584697,34,0.4068865572179925,102,-0.6606581384611944,21
betweenness_centrality_mean_conversation,0.0,81,0.0,34,0.0,102,0.0,21
betweenness_centrality_mean_fused,0.32765171242417235,81,-0.7283309342742409,34,0.05823366704219701,102,-0.36744623711132873,21
betweenness_centrality_mean_proximity,0.2773893791676615,81,-0.666749982457498,34,0.10022020764353345,102,-0.47721435660314715,21
betweenness_centrality_mean_shared_attention,-0.033426225861181,81,0.15058533341243927,34,0.10842144005695627,102,-0.6414935203369914,21
betweenness_centrality_std_conversation,0.0,81,0.0,34,0.0,102,0.0,21
betweenness_centrality_std_fused,0.2793034090252524,81,-0.544017681145029,34,0.02207434277648577,102,-0.3037408540626649,21
betweenness_centrality_std_proximity,0.3099975999167135,81,-0.7919909010420405,34,0.1410272073324691,102,-0.598423338368395,21
betweenness_centrality_std_shared_attention,0.056190966862376145,81,-0.02334402669763987,34,0.12473498565621974,102,-0.784797140241293,21
degree_centrality_mean_conversation,0.29917338735712157,81,-1.6769266708141413,34,0.41519282697421256,102,-0.45558123426742547,21
degree_centrality_mean_fused,0.34962063026718193,81,-1.6500004222968234,34,0.423803789448837,102,-0.7355830103490942,21
degree_centrality_mean_proximity,-0.42020276954997127,81,-0.8423897254252615,34,0.7352436638580133,102,-0.5865323197862294,21
degree_centrality_mean_shared_attention,0.5160512693281178,81,-0.3484617826295561,34,-0.06358791653824011,102,-1.1174516532986738,21
degree_centrality_std_conversation,-0.002729318392817719,81,-0.16389509467103486,34,-0.05830792914843013,102,0.55909127532255,21
degree_centrality_std_fused,0.03877991552207298,81,-0.09542738718446556,34,-0.09563363849568482,102,0.46942805397827836,21
degree_centrality_std_proximity,0.5918219747963236,81,0.23015335865226524,34,-0.6884020665648288,102,0.6882960303301585,21
degree_centrality_std_shared_attention,-0.5299043989043787,81,0.38953118351096927,34,0.2097529861564896,102,0.3944472135199883,21
eigenvector_centrality_mean_conversation,0.248263693544209,81,-1.5977297936828534,34,0.2965585335680466,102,0.18878492305691724,21
eigenvector_centrality_mean_fused,0.3214890713612345,81,-1.3938784880327584,34,0.21227596895739256,102,-0.014328334323809347,21
eigenvector_centrality_mean_proximity,-0.09178274123369044,81,-0.8293189819415467,34,0.41099456850226856,102,-0.2995332648233252,21
eigenvector_centrality_mean_shared_attention,0.2451314702328032,81,-0.21877637566865693,34,0.025454971003410733,102,-0.7149361599271636,21
eigenvector_centrality_std_conversation,-0.2528018697293611,81,1.5323360464252784,34,-0.3300386817744912,102,0.09721292431508764,21
eigenvector_centrality_std_fused,-0.27010384299574447,81,1.1584645020278728,34,-0.18839286789685813,102,0.08127098758033822,21
eigenvector_centrality_std_proximity,0.2636243065845199,81,0.4734856586863664,34,-0.46379429973076214,102,0.4692827306597672,21
eigenvector_centrality_std_shared_attention,-0.48943649607392087,81,0.3811307089097239,34,0.18055232159250892,102,0.39378929888671865,21
closeness_centrality_mean_conversation,0.2534672071444055,81,-0.6502289314633044,34,-0.0445672840147675,102,0.29156204097913235,21
closeness_centrality_mean_fused,-0.058316594107034964,81,0.4111474576995011,34,-0.07685177588219474,102,-0.06745182376806416,21
closeness_centrality_mean_proximity,-0.3431203310387609,81,-0.30084365354579834,34,0.40362809704146363,102,-0.1499349935015473,21
closeness_centrality_mean_shared_attention,-0.37974868683033175,81,0.16613578531866258,34,0.20309368357038285,102,0.20930815277349032,21
closeness_centrality_std_conversation,0.06316002610334648,81,-0.20531760650101888,34,-0.06892725970377366,102,0.4235912855451636,21
closeness_centrality_std_fused,-0.0613879841155158,81,0.4110692115006966,34,-0.07400325197898447,102,-0.06931403694335626,21
closeness_centrality_std_proximity,-0.25359040283417283,81,0.030903802178508855,34,0.154218187040424,102,0.1790399179702607,21
closeness_centrality_std_shared_attention,-0.38042757156739054,81,0.23046049627101878,34,0.1261415524617669,102,0.4815494320306558,21
degree_mean_conversation,-0.031214820503701893,81,-1.0750257790026108,34,0.4969120266946889,102,-0.5526547512366479,21
